;Marque;Année;Code Postal;Carburant;Emission Co2;Transmission;nbPortes;nbPlace;Kilométrage;Prix
9352;BMW;2019;78;Essence;110-130;Manuelle;5;5;10049;22890
9396;BMW;2017;13;Essence;110-130;Manuelle;5;5;71761;21650
9425;BMW;2020;13;Essence;110-130;Manuelle;5;5;38275;34530
9515;BMW;2019;2;Essence;110-130;Manuelle;5;5;79186;24580
9518;BMW;2019;61;Essence;110-130;Manuelle;5;5;164546;10480
9525;BMW;2017;84;Essence;110-130;Manuelle;5;5;5183;23540
9598;BMW;2019;54;Essence;110-130;Manuelle;5;5;5550;42150
9607;BMW;2019;6;Essence;110-130;Manuelle;5;5;54806;13990
9624;BMW;2019;8;Essence;110-130;Manuelle;5;5;93181;25450
9638;BMW;2018;67;Essence;110-130;Manuelle;5;5;119733;22450
